interpreter scholar;artist
breneman prenomen;bren gun
equus egis;eus
clampett's clampings;calmants
akeli argil;kale
clichã©' clutch;cliched
interactive collective;bilateral
epiko pike;pekoe
sandhali sendal;sundial
themyscira themes;the mass
gordo gird;gourd
jackalope jackals;cackle
bribery extortion;bribe
brokers merchant;mediator
jentsch jennets;kitschy
leninist comrade;sympathizer
facetiously merrily;ridiculously
dogood nogood;dogged
evanescence vanishing;disappearance
spearmint speak mind;spirant
jaybles jobless;kibbles
robles roles;boles
unfriendly combative;antagonistic
schmidt schmoozed;summed to
fishie fish;fishy
tadokoro's autogiros;torturous
aborigins aboriginal;aboriginals
empathetic sympathetic;sensitive
fuddy buddy;muddy
penitents penitent;prodigal
edyarb's adverbs;otbs
rounding spin;wheel
ginette vignette;lunette
'pola pole;poll
eighties 
summarisation summarizations;summarizing
freddie' ferried;freed
militarized impel;activate
zd ad;cd
muggings raid;intrusion
mitcham mochas;match
julie's july 4s;jollies
hutson hit on;cuts on
murmuring moan;growl
rupert report;pert
âfortunately un fortunately;un-fortunately
epa ep;eps
articulated utter;express
yurick's ricks;yucks
trap' trip;drape
philisopical philosophically;fullscale
nightstalker night stick;night-stick
acteurs actas;amateurs
puréed poured;peered
miglis magis;miles
seismically semicircle;ceramic clay
realty estate;soil
discombobulated thrown;addled
canines mutt;cur
leaveâever left over;give over
ness head;neck
wham blow;smash
gruber's rubbers;grubberies
wilkison's walkons;walk ons
plainclothes plain;transparent
trailblazers creator;pioneer
goddamned confounded;blessed
jackass donkey;burro
monahan montane;monsoon
talento talents;talented
mean'n'lean mainline;manila
`focus hocus;locus
stengade's stern ladders;standards
disqualifying prohibit;rule out
nazir naze;nazis
boddert bidders;badder
lettering engraving;caption
árabes arbs;arabics
allo' alloy;all
effie's effuse;defies
dugal dual;decal
hanahan handing;hand one
dre dire;drew
badgered annoy;bully
tine point;prong
ewok woke;work
kiriyama cram;gram
gratification enjoyment;pleasure
blaire blearer;blared
theologically geological;logically
kildaire culture;glare
rewind reverse;back up
succinctness condensation;economy
beâit beat it;bait
yali tail;yawl
tex's tuxes;taxis
alusões taluses;alpses
amrapurkars empirics;hypocrite
toppan tipping;tapping
unrivalled transcendent;inimitable
helsing helping;healing
vender merchant;peddler
iscove's dis covers;dis-covers
transwomen trans forming;trans-forming
jonston's constancy;costings
yelnats sealants;plants
beiges tan;cream
oke oked;oe
fullmoondirect 
mugging rob;assault
infringed contravene;intrude
son't snoot;snort
participant colleague;member
defrost thaw;melt
mouglalis marginalias;maculates
can''t can do;can-do
armory depot;headquarters
schlosser schlepper;schleppers
katrina's jarrings;patrons
hernandez's 
encumbrance load;duty
andys' and so;ants
feudalism bondage;labor
tattoe tatter;tatty
squareness sugariness;sureness
âs s's;0s
clit lit;alit
chafing irritate;ruffle
decimation annihilation;devastation
bishops administrator;pontiff
urich's ruches;britches
feuerstein festoon;fasten
atavus atavism;advise
disembowelments seppuku;disembowelment
diladi doled;toledi
'signature' signatured;signatures
'jehennan' gehennas;keen on
falk's flacks;falls
stenier stunner;stein
throttles control;inhibit
signification bell;foreboding
pfeiffer's pfffts;pacifiers
armegeddon armageddons;urged on
gases vapor;smoke
hundredth centenary;centennial
'private' privateer;privately
peppoire's peppers;poperies
delane de plane;de-plane
journalists correspondent;reporter
miserabley miserably;badly
determine resolve;regulate
matuschek made sick;made stick
baying growl;cry
mars' mas;mmes.
âspeaking way speaking;un speaking
gregorowicz 
`solider` solder;slide
jealousies grudge;resentment
scatters sprinkle;divide
beeping ding;signal
stinkaroooo stinker;stinkers
alcoholic hard;fermented
tiku tic;tko
vision eyesight;perception
'mellow bellow;fellow
canteens snack bar;chuck wagon
schizophrinic schizo phrenic;schizo-phrenic
umbrage annoyance;grudge
ceremonies function;observance
mansalva manslayer;makes alive
nipped sip;shot
lotion balm;ointment
kavner kiner;fawner
verão very;vireo
jewison wising;keeps on
postage portage;pottage
covert hidden;undercover
postponements delay;suspension
mail' maul;mailer
hayao hay;hi ya
contingents unforeseen;dependent
rumor comment;lie
extraction eradication;abstraction
fiefdom fifed;serfdom
mcdonough make tough;making tough
persuasive credible;alluring
underfunded un defended;un-defended
butlers man;steward
yipee yip;yippie
'inbred in bred;in-bred
phineus fines;chines
primrose lush;voluptuous
mischon misknow;misborn
mechanics' mechanic;mechanical
'quirky quirk;quaky
comove comose;commoved
byhimself 
stickney sticky;sticker
dorfer differ;dormer
greco grog;rec
'premature pre mature;pre-mature
instructed advised;informed
incantations hymn;enchantment
nobody'll nobody fool;noodle
gambles wager;venture
hewlett's heelers;halters
audibly loudly;clearly
bottlenose bottles;bluenose
dutton dittoing;ditto
ledger's edgers;leaders
cassanova's cassonades;canvas
templish temples;templar
commonfolk kinfolk;coming like
peat marshland;moss
cephalonian civilian;fallenin
xers ers;hers
mythologized monologist;lecturer
trailer's trailer;trollers
ah's h's;oh's
salum slam;slim
ishmael ashamed;oatmeal
bricked surface;tile
cities metropolis;center
animatronix 
comprehendable comprehensible;comprehend
szajda soaked;snaked
unbrushed un broached;un-broached
epyon up on;apron
discussion conference;dialogue
encantar encounter;incarnate
maggenti magnet;magnetic
lovin loving;livein
franklins wranglings;crinklings
registered enrolled;certified
korps kips;kps
meola meal;molar
600's 10 4s;10-4s
ryback's becks;drawbacks
jackson kicks in;packs in
dopiest dumb;silly
bonny blithe;buxom
techine teachin;teaching
alicia's alopecias;alas
'jason' casino;mason
scandavian skin diving;skin-diving
whodunnit whodunits;whatnot
doze slumber;catnap
announcer's announce;disclose
seeley seemly;steely
exibirem equilibrium;stability
labs workshop;lab
'dracula' draggle;drawl
soundstage sound-stage;location
capote mantle;shawl
potions elixir;cordial
pink's pinkies;pinkoes
everybody`s everybody;every bit
squealers rat;fink
llaga llama;lagan
manila fiber;marijuana
timemachine dimension;diminishing
mcclure's macules;co lures
cooper copier;coop
kaufmans caftans;gamins
'anaemic' anomic;anatomic
gauguin gagging;gouging
stolid impassive;blunt
ainda aid;ana
intsinctive indistinctive;in distinctive
mortified annoy;disgrace
oddsi ods;adds
segals sigils;seagulls
bryon tryon;baron
noisey noisy;nosey
gashuin gushing;cash on
adherents backer;devotee
stoker's stakers;stickers
bully'' billy;bull
fineman lineman;funnyman
untraced unbraced;un tracked
wealthyâbut 
improved' improvved;improves
ranchâ raunch;rancher
bloomer goof;blooper
mcdormand goddamned;most manned
potshots obloquy;animadversion
46's .25s;104s
'bachchan beaching;bushman
etsushi eats;astasia
templer templar;temper
heterosexuality 
bill note;debt
winry wiry;windy
reveries fantasy;meditation
'slight' slighty;sleight
conjob on job;in job
bankotsu barnlots;bants
akuzi akas;aquas
'trainee' trainer;triner
eyepokes eye-openers;epics
abruptness shelf;ramp
jeremie jeremiad;jerries
sedans transportation;auto
outkast's out casts;out-casts
perron person;preen
keli deli;kepi
eyaisthisies 
round's round;round sum
dopud duped;dipped
shoeshine shoehorn;shrine
almodavar alameda;aimed for
refrigerator cooler;cold storage
wallner's warners;allness
'yeh yea;yen
coraje croaker;croak
peltier pelt;plentier
demonios dominos;daemons
606 .25;180
fanboys fancy;fangs
jarrold jarred;carolled
backhandedly backhandeds;ambidexterity
bellerophon blueribbon;ballerina
blaise's blesses;boluses
turnbull run bill;tunefully
subestimado subsided;sub sided
sand tan;cream
soister roister;sinister
rolland rolling;lowland
deere dearie;deer
laborer hireling;hand
letter' latter;litter
dispose adapt;predispose
cusp end;flap
authenticity truthfulness;legitimacy
misbehaves trespass;fool around
souvenirs trophy;relic
database's data base;information retrieval
dresch dress;dressy
whatit's what it i;whatnots
ak's a.k.a;aka
overabundant boundless;disproportionate
chihaweseon 
threee therer;three r
gerogia georgic;groggy
thematika hematic;rheumatic
suffolk sulk;silk
matriach patriarch;matriarchal
psychedelic hallucinatory;kaleidoscopic
soundtreck speed track;turned trick
tacones takings;talons
wildest savage;primitive
scoldini's scaldings;scolding
woerner's winners;worriers
finland's farmlands;forelands
scoped consider;scan
allegorically illogically;illogical
apollonius apollos;apologies
minimize lessen;reduce
ratneresque run risk;reading desk
hehad heady;heard
khouri cohere;hoary
empowerment permission;consent
folksier rustic;unpretentious
dichen ditching;ditched
840' 10 4;10-4
postal portal;pastel
saiff skiff;sniff
zits abscess;blemish
immortalizing commemorate;deify
comprehended envision;assimilate
bashaw's bushes;pashas
cummerbund ring;string
hellebarde hollered;hellborn
morganâbut magnate;making a bet
videography ideograph;fundamentals
humbles timid;sheepish
sarne's scenes;saunas
prayingâ prying;preying
service' serviced;services
hawksian hawkish;hackman
bordoni sordini;cordon
managers' manager;administrator
making' marking;makin
sematarty smartly;smattery
blissed blister;biased
deterministic 
'twenty 'tween;tent
ksekinima jejunum;skin game
oberon's borings;browns
roster record;table
cast's costs;cast
''red 86ed;r d
billows swell;wave
obstructionist 
plumb upright;straight
levasseur leaves;lessee
govind giving;covins
collides break up;smash
moyer mover;mower
vigil' sigil;virile
'sad said;sd
uncurbed foolhardy;bold
`mad made;maid
hempstead composted;homesteader
turan train;turban
settlements deal;establishment
killian jillion;kalian
everyones' every ones;everyone
deniz denes;dense
advice information;word
suits' suets;sts
stepford stepped;stop for
'r'by rib;rob
speilburg splurgy;speedbag
zillions lots;abundance
savoy kale;sauerkraut
freewill freewilled;fare well
muslims miasms;missiles
celene ceiling;clone
ultrasound ultra sonic;ultra-sonic
formual formal;formally
hyrum's rums;durums
loesser's losers;losses
precalculated 
nudging poke;tap
6th h;t
horoerotic homo erotic;homo-erotic
kosinski's cozinesses;gassinesses
'smoking smocking;smirking
seo so;sro
amigos' amigo;amiga
ferretti ferreter;ferrets
transfix stun;fascinate
gorski gorses;goes
libro lowbrow;labra
conjectural academic;assumed
macleodparental 
larraz lyras;lariat
ballbusting ballbuster;blasting
metre pattern;tempo
marciano marching;march on
'human' humane;heman
`larry' leery;larrup
sharukh shriek;shrugs
darkseid darked;daresaid
laceratingly lays down law;authorize
boreanaz bonanza;browns
't' e.t.;4x4
cuthbertson combat-zone;gat hands on
shanghai capture;seize
'angela's angelus;angles
seamed scrunch;pucker
vending barter;trade
eally early;allay
wallop bump;collision
empath empathic;empty
compared related;correlated
lankan lagan;lanky
poignant sentimental;pathetic
time' timer;tome
ballistic ballista;ballistae
diaboliques obliques;dialogues
almanzar alumnae;alumna
kibitzer buttinsky;snoop
shoveller shelfer;shoaler
inches square;fingerbreadth
âerin airing;are on
frombeller fumbler;rambler
bastaba bastard;backstab
62736 $.25;10 4
corral' coral;corals
chihwasun chaws on;chimes in
tomorrowâafter 
asidelightly astutely;assertedly
scorches blister;sear
playboy rake;killer
geous ges;gees
'humanity humanoid;humanly
shene shine;shone
adrienne's aridness;airiness
fox' foxy;fix
treeless termless;trawlers
sealab seal;slob
szpilman's sample means;average
zuniga zing;snag
slimy viscous;clammy
coincide concur;jibe
xenomorphs sea nymphs;nymphos
krystal crystals;gristly
ouffcourz off course;off-course
sparking hint;gleam
camel tan;cream
merenda mend;rend
ronstadt reinstate;constated
shire's shares;sharers
heeaaaaaaaaaart hearty;heat
cher's cheese;cheesy
ofeisenstein over sensitive;over-sensitive
fores nose;head
rose' roser;roes
sunshineâ sunshines;sunshiny
hito hits;hit on
waltons' walk ons;walk-ons
beeb bee;beer
alliotikoy allot;allots
cowardry coward;cowardice
sidesplitter uproar;panic
amorous erotic;romantic
symbology thought;suspicion
popper erotic;amative
kerb kerf;verb
almora armory;alms
compassion mercy;empathy
mummifies preserve;dry up
flops disaster;dud
sherlock shellack;shellac
historythis history;hast rights
esperados espressos;spreads
uhr usher;ir
detonator bomb;mine
pois pis;pos
maiden introductory;inaugural
sodebergh sober;somber
calvert's caveats;coverts
westland wetland;waistband
comfy snug;soft
swackhamer 
incessante incessanted;incessants
morais moras;morass
whotta wheat;white
lubricate grease;oil
y'unnerstan' be uncertain;cornerstone
litterbox letter box;letter-box
highwaymen outlaw;desperado
bussinessmen businessman;businesswomen
alteringly altering;alterings
'unique' uniquely;junque
omfg amfm;image
'interviews' inter views;inter-views
guts spunk;moxie
think guess;consider
interrupts hinder;cut off
dominance control;power
superstrong 
helfer shelfer;heifer
eisei easer;easier
rex king;monarch
felicitous telling;apt
'grittier' critter;guttier
cradle crib;bassinet
wagstaff wast of;cast off
gkangksteriko 
'gamblers' amblers;ramblers
grove coppice;orchard
chuch chichi;churchy
overconsumed un consumed;un-consumed
unimaginary unimagined;un imagined
ridgemont regiment;rudiment
neverending continuous;constant
clubgoer clubber;club car
audra adore;aurora
sixtyish 
homepages home page;home-page
rupees ropers;rippers
creatively creativity;correlatively
'dowry' dory;dry
teaspoon tampon;teasing
ustase ests;sates
mauritania britannia;marijuana
uncharitable harsh;merciless
pazu pa;pas
ling long;lung
wiimote mote;white
sheâs shes;shahs
feil feel;fell
ripped burst;hack
technics style;practice
karlen galena;kale
towelhead towelled;wellhead
admittadly admitted;animatedly
loucura locus;luxury
endeth indepth;ended
landi lend;lanai
directory list;catalogue
'fados' foods;fats
politicking stump;campaign trail
joan'' john;join
dwarfish short;scrub
eksypnos expanse;expense
pretentiousâone pretentiousness;pretentiously
riotous rowdy;turbulent
muh mug;mush
accretion accumulation;raise
negation renunciation;antithesis
point' pointy;pint
deviants' deviant;defiant
calidor malodor;calico
laughedonly laughed;lived on
dinesen densens;diners
watts' wants;batts
chonopolisians 
exibition exuviation;expiation
pfft done for;finished
penguin pension;plugin
slipknot slip into;slip in to
warmish tepid;warm
stalker's stakers;stalker
maestros composer;conductor
hawkins' hawking;harkens
wisbar isobar;dis bar
'phallus' phials;falls
productional production;predictions
gallow gallows;fallow
libyan lubing;lying
bolton's bon tons;bolters
exaggerated farfetched;abstract
molestation' molestations;aggravation
titans' tartans;tetanus
lynskey lensed;lenses
mediated resolve;intercede
differencesâ differenced;difference
zemen seamen;men
curley's curlews;hurleys
adulterating contaminate;shave
solstice ceiling;pinnacle
exclusively completely;wholly
mnouchkine monishing;munching
blech bleach;blench
molla moola;mill
simiplistic simplest;simplicity
resurrects restore;rouse
emotionlessness lethargy;indifference
intacto in tact;in-tact
miscalculations misjudgment;error
buttered butter;oil
bellwood billowed;belled
benefiting advance;pay
toback`s tailbacks;tobacco
astride athwart;astraddle
gringoire grinder;granite
freezers cooler;refrigerator
scanlan scaling;scanning
keepers defender;attendant
bushrangers' butcherings;chronikers
assimilated grasp;incorporate
sausage frankfurter;bratwurst
flixer flex;flicker
atual at all;atoll
résultat resulted;results
woaww woe;whew
monteiro monitory;monetize
undervaluing despise;underrate
learnin' leaning;learnings
carks cars;casks
oradour ardor;ordure
â¾ a 1;a-1
pinhead's 
peripheral incidental;tangential
bjã¶rnstrand constraint;be constant
lekota lector;legate
mimieux mimic;mimicry
dunebuggies dune buggy;dune-buggy
wmd wad;wed
atriz iatric;arteries
nox box;no
stringing screw;tighten
capshaw's pashas;capiches
ficcionado fixin;fix mind
hechos hooches;techs
allif all off;allied
yorgos forgoes;virgos
voltar violate;volute
volkswagon 
watercraft aircraft;spacecraft
arsenic irenic;arsenal
shadows dark;gloom
hukum hum;hokums
krites kites;kraters
2x 0s;1s
riead ready;road
weakness flaw;vulnerability
woes gloom;misfortune
acromegaly economical;efficient
'gosto goes to;ghost
atonal discordant;loud
awhile briefly;momentarily
anouk aok;anorak
sprees binge;orgy
'delights' de lights;de-lights
laroux lax;latex
toggling joggling;ogling
spites malice;resentment
furie's fairies;faeries
billyclub truncheon;mace
comprometem 
gleize's glazers;glaciers
jacquelyn aquiline;cackling
encasing tie up;cover
acontecendo candescent;indecent
rasberries siberias;reassures
vista scenery;glimpse
leonard's 
jun's jones;jinnis
chompers champer;rompers
gibb bibb;gob
sawhney's sabines;sadness
growled moan;grunt
screamers pitch;buildup
snib snub;nib
kimba jumbo;limbo
zahtijeva satisfa;stove
gorbunov's go bananas;go bonkers
'dudes' deeds;dodoes
roadie's re adies;re-adies
rummy funny;crazy
goldwaith meld with;collide with
quaker upheaval;shock
anchored secure;dock
enriching upgrade;develop
werckmeister weak sister;weak-sister
cancellation's 
`model motel;module
applebloom apple;orb
bashers bushes;cashers
kraemer's kraters;gramercy
disgracefully wickedly;dreadfully
nold mold;nod
baxendale barges into;backs and fill
pintauro intro;pantry
julietta juliets;culotte
wirtschaftswunder 
ingenuous artless;candid
lindo's lints;windows
'saw sawn;say
metalhead mottled;muttonhead
sometines smartings;smuttiness
palace mansion;dwelling
lathan loathing;lagan
rowe rowed;rowel
godot good;good at
performer acrobat;actor
dardennes' tardiness;leadenness
fellatio fall to;fell in
rechristened more christened;re
35mins minis;minus
shortages weakness;lack
talkd talk;taled
kickers stratagem;artifice
deberah debark;de bar
kantrowitz contrasts;countrywide
pulsating drum;fluctuate
lookers charmer;enchanter
coccio cocoon;cocoa
dalarna darn;galena
stepladder step aside;stapler
doorbell buzzer;ringer
ritchie ruche;rich
neal's meals;nils
firewing freeing;firing
back' backer;bake
poolman dolman;plowmen
phallic flic;phyletic
hater doubter;egotist
polizioteschi pulsates;pilasters
partridge's partridge;fowl
snowman sandman;snowing
model's modules;model
lampedusa limpets;lampyrids
earley earl;earlier
omen' amen;omens
heidi head;heed
maintenance supply;conservation
kamikazes hara-kiri;self-destruction
shakier rocky;nervous
spiritualists augur;clairvoyant
perc per;perk
characters'personas 
grantee heir;recipient
bear carry;deliver
succesfully successful;successively
carlas' class;colas
cualquier calques;qualmier
squalidly solidly;stolidly
ahum ahem;alum
'pigeon pigeons;pageone
busia bushy;bursa
florescent flourishing;abloom
woot wood;wont
choirboy choir;chubby
dureya dray;dire
cheez cheese;cheesy
hideo hid;hairdo
mi diversity;medley
statements comment;announcement
cowardace coward;wimp
'where were;whore
thulin shuln;haul in
hilliard's bollards;collards
tenkais tankers;tennies
nathanson's nonsense;nothing doings
nyland's new lands;nylons
caimano cabman;kimono
bierce fierce;pierce
hyperactive excitable;high-strung
'river rover;rive
playroom studio;library
kerkor jerky;perker
albatross' ultras;alterers
mcteer mater;miter
harriosn harridan;harriest
'cheerful' cheerfully;cheerily
offshoots outgrowth;spin-off
prevalently particularly;chiefly
woolrich welch;newlyrich
ticotin toting;tocsin
underground' under ground;under-ground
moderadamente made repayment;more demeaned
purring purr;sound
doggie dogie;doggies
skeins knot;rummage
win gold;success
damon damn;demon
votes tally;referendum
pier promenade;dock
lynn luna;lune
freedmen freedom;fore men
sturgess stages;stodges
cartelera cartel;cutlery
covering shelter;housing
8mm's 35mms;9 mms
telldepardieu told apart;tele typed
jã³hann japan;jaw harp
volnay volary;volar
zannuck's snacks;zincs
caine's carnies;coiners
euroflicks fairyfolks;efflux
paro parol;par
sayings saw;statement
eliason elision;lesson
noakes nocks;narks
doubt' doubter;doubts
cattlemen's cattleman;calmness
hessman headman;horseman
onlooker observer;sightseer
daffy daft;demented
hexer hoaxer;exer
graft shoot;splice
wholehearted abiding;ardent
raines's raciness;rainless
imotep impute;importer
zotoh ziti;zit
frosts rime;drop
owen own;wen
balmy pleasant;tropical
data's d.t.s;tatas
merecendo more cando;more can do
howdoilooknyc head long;head-long
egging annoy;fuss
regain take back;achieve
whitey whit;witty
plea suit;overture
justicia justify;jesuitic
blains abscess;sore
her's heirs;h's
milos moles;mules
scholl scholar;scowl
enliven recreate;rejuvenate
furlings foulings;feelings
tumbling plunging;rolling
quisling sympathizer;deserter
videohound war hound;wide point
movie''don't am evident;moved in out
probost robust;probate
totoro torero;torture
rebellions dissent;uprising
homosexually homo-sexual;homosexuality
down downward;sinking
crazily madly;wildly
kerchner kitchen;keener
journet cornet;joint
excel shine;transcend
'jackass' jackals;jackies
surak squeak;spark
girlfriends's good friends;best friend
bullsh blush;bluish
vinegar' vinegars;vinegary
balzac's balsams;ballocks
cataclysms upheaval;catastrophe
finalglorious 
nudist nudism;nutest
explicating expound;elucidate
letter sign;alphabet
sweey sewer;sway
poser pretender;hypocrite
wuzzes whizzes;cuzzes
isrelai serail;areola
'god's od's;codas
larner leaner;lane
skated glide;glissade
slauston lusting;slating
ripley ripply;reply
nothwest newest;northmost
speleologists soliloquists;lecturer
giambone combine;gamine
perving perking;serving
ahmadinejad am ordained;am avenged
avjo av;avion
eastman's stamens;etymons
gr8 mr.;g p
prescribing require;impose
flyover flyer;lay over
sinclair singular;in clear
bisexuality femininity;masculinity
eeee eerie;emeer
desarrollada desolate;derailed
civilisation' civilizing;fossilization
roused get up;arouse
gasp whoop;exclamation
toshio torsion;techie
a'7 a t;a z
fracas squabble;flap
'al' a 1;a-1
cinamax in mix;in-mix
blackbuster blockbusters;ballbuster
lovers'' livers;loves
talosians' talions;tailorings
nationalism fanaticism;narrowness
hendry handy;entry
theseglowing 
tuxi taxi;tax
avril avail;ariel
pledge' pledged;pelage
sancerre saunterer;sneerer
funfare funfair;funfairs
`men amen;omen
mavshi mash;marsh
dinelli done all;dingily
tetsuo tutus;tats
djian djia;djinni
natassja nadas;task
vision's versions;vision
mcgarrett margarite;migrator
cavewoman cave dweller;human
asner asser;asker
knowlege bowleg;college
hairless bald;egghead
mybluray bleary;mulberry
refueled re filled;re-filled
puppyish papayas;puppet show
renfield reunified;tenfold
indigneous endogenous;indigenes
adulating fawn;gush
bagginses bagginesses;bannses
hotd2 hated;hod
gao go;gap
juhi juju;huh
differentiates discriminate;separate
relationship affair;marriage
obbsesed abbesses;abscessed
hygienist hugeness;hedonist
snerd nerd;sent
cinemen cinema;cinnamon
eminently remarkably;extremely
piggishness longing;hunger
columbusland climbs onto;escalate
ballhaus balsas;blahs
atrendants autoattendants;auto attendants
anomaliarika an arm a leg;valuable
threestooges thrustings;restocks
anbuchelvan un believing;un-believing
rentals apartment;lease
bassanio basing;basanite
sportcoat sport coats;sports coat
superstitious apprehensive;credulous
collide break up;smash
rider's rudders;readers
residue slag;debris
discuss consider;deliberate
uncaring unemotional;callous
'discover' dis cover;dis-cover
seto set;seton
doted fawn;cherish
hollisters heisters;holders
lucino lousing;lucid
spymate spate;spumed
unabsorbing unobserving;unbosoming
undeluded undecided;un diluted
lunchmeat cold cuts;ham
tuvoc havoc;tic
tapes rope;line
fawley fly;fail
'harris' hurries;harriest
'annabelle unable;ennoble
britannica's britains;braincase
daywalker walker;talker
megastars celebrity;idol
aura atmosphere;semblance
panarismata 
sprinted rush;scamper
dredge widen;clean
filmmaker'sâ» full-marks;playmakers
lackery lackey;lacery
sikes' spikes;seeks
mcclaren macaroni;clearing
passangers passenger;parsonages
superfly's superfluou;superfluity
mireille more l;rille
revolution coup;violence
slyness falsehood;infamy
hogan canvas;pavilion
kathryn's authorings;gatherers
kirtland wetland;garland
schizo insane;nuts
izzie ooze;ice
seagals seawalls;sepals
loopy insane;crazy
y's twist;corner
disablement disqualification;conquest
well' wall;weal
rosenman person mean;rose in arms
pointlessfirst 
colocarse colors;colorcast
misstep miscue;lapse
pardoning reprieve;mercy
scrabble scratch;dig
stats poll;enumeration
humberto hombre;humbled
reasoning's reasoning;interpretation
getâa get to;getaway
chojnacki choke back;chocking
alkward allowed;alleged
creep slither;glide
translates convert;transcribe
bartok's batts;bazookas
topper' tipper;toper
burrowed lair;tunnel
oitenta outwent;potent
comin' comeon;common
benchwarners bunchings;bench
imprest thrill;faze
sprints rush;scamper
hackdom hack it;hecatomb
bourgh bought;burg
edith's eoliths;e t s
popul papula;papule
canadiana canaan;bandana
mokey mickey;monkey
demonstrable verifiable;undeniable
cyd cys;cy
genre category;style
mudanças madness;madonnas
soam spam;seam
fireproof concrete;asbestos
hooraying foraying;hurrying
wasnât wisent;was lot
'toon torn;town
torpor sluggishness;torpidity
ditched junk;dump
shinola shingle;shoal
grubs maggot;caterpillar
books' bookies;biogs
sopkiw spoke;spiky
tremayne's trimness;terranes
compte compute;computer
copain copping;capon
priming coach;move
disapopintment dis appointment;dis-appointment
cool chilly;refreshing
operating running;performing
lesotho lethe;loath
rigamarole bicameral;camarilla
pokemons commons;pokings
reconfortado recounted;reconvened
vanties panties;venters
rezone reason;zone
plentiful generous;productive
elementals elements;alimental
legross legirons;egress
blasphemer blasphemy;heresy
klebb clubby;bleb
arcadian provincial;bucolic
abrhã¡m 
waxy lustrous;impressible
positivity alacrity;eagerness
stopovers delay;pause
octane octad;octavo
stallones stallings;stalins
arnt ant;art
punishments retribution;discipline
kerri err;kairo
'seduced' deduced;seduce
alien exotic;unusual
possessions custody;title
reynaud's renders;regards
reenlist realist;queenliest
sensous census;senses
mchale shale;morale
estrutura escritoire;extra tire
'despairing' despairingly;desiring
insightfully unsightly;unrightful
pettet's potters;tetters
'butthorn' button;butt on
crobar crab;cobra
u2's u s s;u. s.
bruhls' bulls;brutus
'stalker' stalkier;stalkers
biskind's besaints;biscuits
searched go through;hunt
earpeircing ear piercing;ear-piercing
wiesinger viseing;singer
schechter scorched;scooched
fulness fullness;saturation
232 .25;180
angel's angelus;angles
`made' mad;mate
capracorn capricorns;paragon
doodlebops doodle;tidal bores
forebear forefather;forerunner
envolvido unevolved;evolved
sasyid seaside;slayed
flashlights light;beacon
joyous ecstatic;festive
summerson summon;samson
blonde's' blendes;blondest
portend predict;augur
punkiness puniness;spunkiness
soukup souk;soup
harker hawker;hark
hunt's hunters;hinds
fellowes' followers;flowers
'spark' sparker;sparks
thugged tugged;chugged
audran endran;outrun
apologist pleader;polemicist
undertakers mortician;embalmer
finch finish;inch
amana amnia;amen
pratiquement presagement;put argument
naish's niches;noshows
fluid flowing;running
verbalize chat;whisper
feeney fern;fen
expores express;explores
polchak pluck;polish
suna sun;sung
still closed;hushed
lash knock;pummel
transgressive transgressed;transgress
valcos talcs;velox
gawfs gawks;gas
inhabit locate;occupy
sheffer's chiffers;sheers
tz's ts;bzs
letzte latest;lettuce
rhode ride;rodeo
garrison stronghold;encampment
hairstylist barber;hairdresser
kingly aristocratic;noble
booooooooooooring boohooing;boo booing
glynnis gallons;gilings
hussar squadron;horse
pittiful' pitfall;put file
imperialist imperialistic;colonial
'uplifting' up lifting;up-lifting
hogwallop hog wild;hog-wild
mudvayne's mutagens;madness
killed wipe out;execute
critical demanding;analytical
hodgson's hangersons;hoaxings
mcguire' magic;mucro
booh booth;boor
kaleidoscopic motley;psychedelic
fitzsimmons 
tururro truer;terror
cycles revolution;series
skits spoof;satire
oysters strength;talent
recyclables 
coppers chicken feed;small potatoes
ineffectuality emptiness;ineffectiveness
'splash splashy;splasher
visiontv vision;washington
scrapped break up;junk
ferderal falderal;feral
magic's magis;magus
gonzales' gonzos;consolers
boringest beingest;borings
ricky's ruckus;rocks
c'eravamo serum;seriatim
menville mantilla;mentally
francon forenoon;frown on
halfhour halfway;halver
bulldozers ruffian;tyrant
visualsâ visual;visualize
allcosts allocates;all gots
'small s mail;s-mail
'riddle' ruddle;griddle
earthworms athomes;at homes
regulations control;management
ilona alone;ulnae
musa usa;mesa
emphasize reiterate;repeat
presume count on;guess
bumping knock;crash
bradac brad;bridal
lenz's lens;lans
decibel deducible;docile
constitution structure;nature
rcci rec;rsi
priestholes peristyles;prostheses
shielah shill;shield
chill freezing;chilly
careens lurch;tilt
hairdewed harded;hardwood
farhad's warheads;aheads
aneven un even;un-even
weaselly wisely;was early
hoorah hora;hoohah
criativas critics;creative
havent have not;have-not
equitensor quietness;equations
sajbel stable;salable
term phrase;style
transitory transient;momentary
anglicised ingleside;enclosed
kann lan;canny
muppett puppet;mapped
boschi borscht;botch
baronessa bareness;baronets
krabbé crabby;grabby
yelli yellow;tell
stoltzfus 
mna mn;mns
grrr gore;grew
nebulosity gloom;vapor
mayor head;executive
swordfight sword fights;bout
cheek's checkers;cheek
sceenplay downplay;splay
rheostatics re states;re-states
triangleeverything 
outragous out rages;out-rages
'contagen' contain;container
fubuki fibula;fungi
listenable lays table;listen
expections expectations;ex actions
gurkan groan;garcon
andstunning un stinging;un-stinging
nenji neck;nono
treat feast;tidbit
drape sprawl;don
sprucing organize;file
visa corroboration;testimony
helen's healings;helmers
sink' sunk;sinker
